Timestamp,BI
1738272505.19451,807
1738272506.31295,855
1738272506.93547,807
1738272507.79083,797
1738272508.58743,797
1738272509.26854,855
1738272510.22617,797
1738272511.79128,681
1738272512.19423,804
1738272512.7411,804
1738272513.54537,804
1738272514.35833,804
1738272515.25899,813
1738272515.93341,841
1738272517.00917,872
1738272517.84998,872
1738272518.72182,885
1738272519.60718,876
1738272520.50548,876
1738272521.38179,885
1738272522.23353,876
1738272523.94678,852
1738272524.43966,852
1738272524.80728,869
1738272525.67593,836
1738272526.56239,836
1738272527.39868,836
1738272527.86519,828
1738272528.26857,467
1738272529.0968,467
1738272529.49197,603
1738272530.09526,814
1738272530.93659,814
1738272531.75058,841
1738272533.36793,841
1738272534.23549,868
1738272535.01381,877
1738272535.89067,868
1738272536.87392,778
1738272537.21484,485
1738272537.62159,485
1738272538.10691,485
1738272538.6086,485
1738272539.15399,502
1738272539.48045,545
1738272540.37614,545
1738272541.23841,431
1738272541.66932,862
1738272542.05524,862
1738272543.00456,949
1738272544.6677,949
1738272546.2361,949
1738272547.14318,907
1738272547.97537,867
1738272548.80946,867
1738272549.67696,867
1738272550.63649,867
1738272551.56648,930
1738272552.42802,930
1738272553.42347,917
1738272554.23889,862
1738272555.15556,912
1738272555.98813,833
1738272556.89964,833
1738272557.26308,833
1738272557.7641,755
1738272558.61483,501
1738272559.36965,517
1738272559.76233,755
1738272560.27908,517
1738272561.0707,517
1738272561.46231,568
1738272562.03073,568
1738272563.00749,568
1738272563.33167,687
1738272564.01886,838
1738272564.85658,687
1738272565.98634,687
1738272566.42426,838
1738272566.79547,866
1738272567.6618,866
1738272568.71406,906
1738272569.61956,906
1738272570.59019,906
1738272570.90331,900
1738272571.44581,871
1738272572.34553,871
1738272573.21627,900
1738272574.12539,900
1738272575.15193,909
1738272576.03273,909
1738272577.21059,881
1738272577.5682,548
1738272578.11616,500
1738272578.61643,500
1738272579.03484,548
1738272579.97176,845
1738272581.0056,845
1738272581.85073,845
1738272582.42986,845
1738272582.92212,822
1738272583.86749,579
1738272584.68981,675
1738272585.06102,675
1738272585.73565,560
1738272586.29546,560
1738272586.66627,657
1738272587.57423,560
1738272588.23152,657
1738272588.54829,908
1738272589.61969,879
1738272590.56719,920
1738272591.44574,948
1738272592.36544,920
1738272593.33167,920
1738272594.1268,921
1738272595.13885,966
1738272596.0596,1003
1738272597.06219,1003
