LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1738272091.352933,1060765.000,29313,1,TL,1,100,2025-01-30_14-21-31-312090
1738272096.410085,1065822.000,30104,1,TL,1,100,2025-01-30_14-21-31-434124
1738272096.432086,1065844.000,30107,1,TL,1,100,2025-01-30_14-21-36-419721
1738272101.548240,1070960.000,30912,1,TL,1,100,2025-01-30_14-21-36-469795
1738272101.578241,1070990.000,30915,1,TL,1,100,2025-01-30_14-21-41-569929
1738272106.658394,1076070.000,31707,1,TL,1,100,2025-01-30_14-21-41-646530
1738272106.678395,1076090.000,31710,1,TL,1,100,2025-01-30_14-21-46-669529
1738272111.766548,1081178.000,32501,1,TL,1,100,2025-01-30_14-21-46-723821
1738272111.791549,1081203.000,32504,1,TL,1,100,2025-01-30_14-21-51-778818
1738272116.906703,1086318.000,33307,1,TL,1,100,2025-01-30_14-21-51-826251
1738272116.995706,1086407.000,33310,1,TL,1,100,2025-01-30_14-21-56-987727
1738272122.024858,1091436.000,34105,1,TL,1,100,2025-01-30_14-21-57-049632
1738272122.085860,1091497.000,34108,1,TL,1,100,2025-01-30_14-22-02-076884
1738272127.163013,1096574.000,34901,1,TL,1,100,2025-01-30_14-22-02-163563
1738272127.181013,1096592.000,34904,1,TL,1,100,2025-01-30_14-22-07-171595
1738272132.277167,1101688.000,35698,1,TL,1,100,2025-01-30_14-22-07-302399
1738272132.302168,1101713.000,35701,1,TL,1,100,2025-01-30_14-22-12-291783
1738272137.417322,1106828.000,36495,1,TL,1,100,2025-01-30_14-22-12-433309
1738272137.436323,1106847.000,36498,1,TL,1,100,2025-01-30_14-22-17-428607
1738272142.539477,1111950.000,37286,1,TL,1,100,2025-01-30_14-22-17-585987
1738272142.557477,1111968.000,37289,1,TL,1,100,2025-01-30_14-22-22-548482
1738272147.651631,1117062.000,38082,1,TL,1,100,2025-01-30_14-22-22-681404
1738272147.676631,1117087.000,38085,1,TL,1,100,2025-01-30_14-22-27-663055
1738272152.779785,1122190.000,38874,1,TL,1,100,2025-01-30_14-22-27-802333
1738272152.810786,1122221.000,38877,1,TL,1,100,2025-01-30_14-22-32-795863
1738272157.890940,1127301.000,39672,1,TL,1,100,2025-01-30_14-22-33-035865
1738272163.019094,1132429.000,40465,1,TL,1,100,2025-01-30_14-22-37-972320
1738272163.021094,1132431.000,40467,1,TL,1,100,2025-01-30_14-22-38-062270
1738272163.042095,1132452.000,40470,1,TL,1,100,2025-01-30_14-22-43-033963
1738272168.141249,1137551.000,41263,1,TL,1,100,2025-01-30_14-22-43-160527
1738272168.161249,1137571.000,41266,1,TL,1,100,2025-01-30_14-22-48-153458
1738272173.282404,1142692.000,42057,1,TL,1,100,2025-01-30_14-22-48-283995
1738272173.314405,1142724.000,42060,1,TL,1,100,2025-01-30_14-22-53-301464
1738272178.418559,1147828.000,42851,1,TL,1,100,2025-01-30_14-22-53-556878
1738272178.435559,1147845.000,42854,1,TL,1,100,2025-01-30_14-22-58-427521
1738272183.549714,1152959.000,43638,1,TL,1,100,2025-01-30_14-22-58-559251
1738272183.639716,1153049.000,43641,1,TL,1,100,2025-01-30_14-23-03-626588
1738272188.666868,1158076.000,44423,1,TL,1,100,2025-01-30_14-23-03-683278
1738272188.706869,1158116.000,44426,1,TL,1,100,2025-01-30_14-23-08-694639
1738272193.791023,1163200.000,45216,1,TL,1,100,2025-01-30_14-23-08-812816
1738272193.812023,1163221.000,45219,1,TL,1,100,2025-01-30_14-23-13-798824
1738272198.919177,1168328.000,46007,1,TL,1,100,2025-01-30_14-23-13-990433
1738272204.066332,1173475.000,46794,1,TL,1,100,2025-01-30_14-23-19-035262
1738272204.068332,1173477.000,46796,1,TL,1,100,2025-01-30_14-23-19-064583
1738272204.091333,1173500.000,46799,1,TL,1,100,2025-01-30_14-23-24-076876
1738272209.204487,1178613.000,47587,1,TL,1,100,2025-01-30_14-23-24-222343
1738272209.258489,1178667.000,47590,1,TL,1,100,2025-01-30_14-23-29-220520
1738272214.337642,1183746.000,48378,1,TL,1,100,2025-01-30_14-23-29-361073
1738272214.423645,1183832.000,48381,1,TL,1,100,2025-01-30_14-23-34-409607
1738272219.445796,1188854.000,49158,1,TL,1,100,2025-01-30_14-23-34-478337
1738272219.476797,1188885.000,49161,1,TL,1,100,2025-01-30_14-23-39-459302
1738272224.577951,1193986.000,49952,1,TL,1,100,2025-01-30_14-23-39-599085
1738272224.601952,1194010.000,49955,1,TL,1,100,2025-01-30_14-23-44-592634
1738272229.705106,1199113.000,50744,1,TL,1,100,2025-01-30_14-23-44-723086
1738272229.743107,1199151.000,50747,1,TL,1,100,2025-01-30_14-23-49-733397
1738272234.830260,1204238.000,51538,1,TL,1,100,2025-01-30_14-23-49-862301
1738272239.964415,1209372.000,52327,1,TL,1,100,2025-01-30_14-23-54-951591
1738272240.062418,1209470.000,52330,1,TL,1,100,2025-01-30_14-24-00-050395
1738272245.096570,1214504.000,53121,1,TL,1,100,2025-01-30_14-24-00-103973
1738272245.117571,1214525.000,53124,1,TL,1,100,2025-01-30_14-24-05-107691
1738272250.216724,1219624.000,53914,1,TL,1,100,2025-01-30_14-24-05-235583
1738272255.344879,1224752.000,54703,1,TL,1,100,2025-01-30_14-24-10-241655
1738272255.347879,1224755.000,54705,1,TL,1,100,2025-01-30_14-24-10-370517
1738272255.394881,1224802.000,54708,1,TL,1,100,2025-01-30_14-24-15-368509
