LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1738271854.550790,823970,58182,1,BI,1,100,800
1738271864.247082,833666,59661,1,BI,1,100,9600
1738271866.950164,836369,60075,1,BI,1,100,2680
1738271867.657185,837076,60186,1,BI,1,100,700
1738271869.773249,839192,60515,1,BI,1,100,2100
1738271870.786280,840205,60675,1,BI,1,100,1000
1738271871.300295,840719,60746,1,BI,1,100,510
1738271875.179412,844598,61356,1,BI,1,100,3840
1738271877.446481,846865,61692,1,BI,1,100,2240
1738271879.499542,848918,62022,1,BI,1,100,2040
1738271880.449571,849868,62163,1,BI,1,100,940
1738271881.072590,850491,62260,1,BI,1,100,620
1738271884.682699,854101,62813,1,BI,1,100,3570
1738271885.505724,854924,62940,1,BI,1,100,820
1738271887.501784,856920,63245,1,BI,1,100,1970
1738271889.421842,858840,63542,1,BI,1,100,1900
1738271891.791913,861210,63910,1,BI,1,100,2350
1738271894.274988,863693,64301,1,BI,1,100,2460
1738271894.685001,864103,64350,1,BI,1,100,410
1738271895.085013,864503,64414,1,BI,1,100,390
1738271896.008040,865426,64573,1,BI,1,100,920
1738271897.748093,867166,64831,1,BI,1,100,1720
1738271899.501146,868919,65098,1,BI,1,100,1740
1738271900.455175,869873,65256,1,BI,1,100,940
1738271901.351202,870769,65398,1,BI,1,100,890
1738271902.864247,872282,86,1,BI,1,100,1500
1738271903.697273,873115,212,1,BI,1,100,820
1738271904.137286,873555,277,1,BI,1,100,440
1738271905.207318,874625,450,1,BI,1,100,1060
1738271906.844367,876262,703,1,BI,1,100,1620
1738271909.454446,878872,1116,1,BI,1,100,2580
1738271918.056705,887474,2439,1,BI,1,100,8520
1738271918.883730,888301,2581,1,BI,1,100,820
1738271920.816789,890234,2881,1,BI,1,100,1910
1738271921.609813,891027,3008,1,BI,1,100,790
1738271922.313834,891731,3103,1,BI,1,100,700
1738271924.079887,893497,3391,1,BI,1,100,1740
1738271924.962914,894380,3517,1,BI,1,100,880
1738271926.549962,895967,3770,1,BI,1,100,1570
1738271930.309075,899726,4335,1,BI,1,100,3720
1738271939.512353,908929,5754,1,BI,1,100,9120
1738271940.155372,909572,5850,1,BI,1,100,630
1738271942.795452,912212,6259,1,BI,1,100,2620
1738271944.754511,914171,6562,1,BI,1,100,1940
1738271945.484533,914901,6673,1,BI,1,100,720
1738271947.164583,916581,6941,1,BI,1,100,1660
1738271955.040821,924457,8139,1,BI,1,100,7800
1738271956.900877,926317,8438,1,BI,1,100,1850
1738271960.536987,929953,9007,1,BI,1,100,3600
1738271961.687021,931103,9183,1,BI,1,100,1140
1738271962.654051,932070,9325,1,BI,1,100,950
1738271963.577079,932993,9471,1,BI,1,100,920
1738271965.387133,934803,9754,1,BI,1,100,1790
1738271967.223189,936639,10037,1,BI,1,100,1820
1738271971.363313,940779,10670,1,BI,1,100,4100
1738271974.216399,943632,11114,1,BI,1,100,2820
1738271975.142427,944558,11256,1,BI,1,100,920
1738271976.242460,945658,11431,1,BI,1,100,1090
1738271977.242491,946658,11573,1,BI,1,100,990
1738271978.299523,947715,11746,1,BI,1,100,1050
1738271979.152548,948568,11881,1,BI,1,100,840
1738271979.892571,949308,11991,1,BI,1,100,730
1738271981.105607,950521,12181,1,BI,1,100,1210
1738271983.251672,952667,12526,1,BI,1,100,2120
1738271985.138729,954554,12797,1,BI,1,100,1870
1738271986.101758,955517,12957,1,BI,1,100,950
1738271988.141819,957557,13270,1,BI,1,100,2020
1738271988.858841,958274,13382,1,BI,1,100,710
1738271990.024876,959440,13561,1,BI,1,100,1160
1738271991.101909,960517,13738,1,BI,1,100,1060
1738271991.871932,961287,13848,1,BI,1,100,770
1738271993.151971,962567,14053,1,BI,1,100,1260
1738271993.731988,963147,14148,1,BI,1,100,580
1738271994.428009,963843,14247,1,BI,1,100,690
1738271996.141061,965556,14516,1,BI,1,100,1690
1738271997.118090,966533,14658,1,BI,1,100,970
1738271998.101120,967516,14816,1,BI,1,100,980
1738272000.207183,969622,15152,1,BI,1,100,2080
1738272001.184213,970599,15296,1,BI,1,100,970
1738272002.274246,971689,15469,1,BI,1,100,1080
1738272003.364279,972779,15641,1,BI,1,100,1080
1738272004.157303,973572,15769,1,BI,1,100,780
1738272004.530314,973945,15807,1,BI,1,100,370
1738272005.427341,974842,15949,1,BI,1,100,890
1738272006.390370,975805,16108,1,BI,1,100,950
1738272007.480403,976895,16282,1,BI,1,100,1080
1738272008.437432,977852,16423,1,BI,1,100,950
