LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1738257292.460222,1782687.000,20860,4,DC,2,100,EA
1738257292.485223,1782712.000,20860,4,DC,2,100,1
1738257292.510224,1782737.000,20860,4,DC,2,100,EL
1738257292.535226,1782762.000,20860,4,DC,2,100,1
1738257292.561477,1782788.250,20875,4,DC,2,100,EA
1738257292.587728,1782814.500,20875,4,DC,2,100,2
1738257292.613979,1782840.750,20875,4,DC,2,100,EL
1738257292.640230,1782867.000,20875,4,DC,2,100,2
1738257292.665482,1782892.250,20892,4,DC,2,100,EA
1738257292.690733,1782917.500,20892,4,DC,2,100,1
1738257292.715984,1782942.750,20892,4,DC,2,100,EL
1738257292.741235,1782968.000,20892,4,DC,2,100,1
1738257292.766736,1782993.500,20911,4,DC,2,100,EA
1738257292.792237,1783019.000,20911,4,DC,2,100,2
1738257292.817739,1783044.500,20911,4,DC,2,100,EL
1738257292.843240,1783070.000,20911,4,DC,2,100,2
1738257292.869241,1783096.000,20928,4,DC,2,100,EA
1738257292.895242,1783122.000,20928,4,DC,2,100,1
1738257292.921243,1783148.000,20928,4,DC,2,100,EL
1738257292.947244,1783174.000,20928,4,DC,2,100,1
1738257292.971496,1783198.250,20944,4,DC,2,100,EA
1738257292.995747,1783222.500,20944,4,DC,2,100,2
1738257293.019998,1783246.750,20944,4,DC,2,100,EL
1738257293.044249,1783271.000,20944,4,DC,2,100,2
1738257293.070250,1783297.000,20961,4,DC,2,100,EA
