LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1738257283.548314,1756613.889,16831,9,PI,1,100,165210
1738257283.558759,1756624.333,16831,9,PI,1,100,165235
1738257283.569204,1756634.778,16831,9,PI,1,100,165210
1738257283.579649,1756645.222,16831,9,PI,1,100,165227
1738257283.590094,1756655.667,16831,9,PI,1,100,165209
1738257283.600538,1756666.111,16831,9,PI,1,100,165234
1738257283.610983,1756676.556,16831,9,PI,1,100,165203
1738257283.621428,1756687.000,16831,9,PI,1,100,165227
1738257283.631156,1756696.727,16848,11,PI,1,100,165228
1738257283.640884,1756706.455,16848,11,PI,1,100,165241
1738257283.650611,1756716.182,16848,11,PI,1,100,165216
1738257283.660339,1756725.909,16848,11,PI,1,100,165241
1738257283.670067,1756735.636,16848,11,PI,1,100,165200
1738257283.679794,1756745.364,16848,11,PI,1,100,165243
1738257283.689522,1756755.091,16848,11,PI,1,100,165216
1738257283.699250,1756764.818,16848,11,PI,1,100,165256
1738257283.708977,1756774.545,16848,11,PI,1,100,165243
1738257283.718705,1756784.273,16848,11,PI,1,100,165250
1738257283.728433,1756794.000,16848,11,PI,1,100,165244
1738257283.738767,1756804.333,16864,9,PI,1,100,165261
1738257283.749100,1756814.667,16864,9,PI,1,100,165254
1738257283.759434,1756825.000,16864,9,PI,1,100,165247
1738257283.769768,1756835.333,16864,9,PI,1,100,165223
1738257283.780102,1756845.667,16864,9,PI,1,100,165255
1738257283.790436,1756856.000,16864,9,PI,1,100,165223
1738257283.800769,1756866.333,16864,9,PI,1,100,165271
1738257283.811103,1756876.667,16864,9,PI,1,100,165278
1738257283.821437,1756887.000,16864,9,PI,1,100,165240
1738257283.832037,1756897.600,16881,10,PI,1,100,165267
1738257283.842638,1756908.200,16881,10,PI,1,100,165287
