LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1738271578.022880,564335.000,23234,2,GX,1,100,0.092
1738271578.062881,564375.000,23250,3,GX,1,100,0.061
1738271578.102883,564415.000,23250,3,GX,1,100,0.092
1738271578.142884,564455.000,23250,3,GX,1,100,0.061
1738271578.182886,564495.000,23267,2,GX,1,100,0.031
1738271578.222888,564535.000,23267,2,GX,1,100,-0.031
1738271578.262889,564575.000,23284,3,GX,1,100,0.092
1738271578.302891,564615.000,23284,3,GX,1,100,0.061
1738271578.342893,564655.000,23284,3,GX,1,100,-0.031
1738271578.382894,564695.000,23301,2,GX,1,100,0.214
1738271578.422896,564735.000,23301,2,GX,1,100,0.305
1738271578.462898,564775.000,23316,3,GX,1,100,0.153
1738271578.502899,564815.000,23316,3,GX,1,100,-0.458
1738271578.542901,564855.000,23316,3,GX,1,100,-0.916
1738271578.582902,564895.000,23334,3,GX,1,100,-0.854
1738271578.622904,564935.000,23334,3,GX,1,100,-0.793
1738271578.662906,564975.000,23334,3,GX,1,100,-1.038
1738271578.702907,565015.000,23350,2,GX,1,100,-1.404
1738271578.742909,565055.000,23350,2,GX,1,100,-1.190
1738271578.782910,565095.000,23367,3,GX,1,100,-0.397
1738271578.822912,565135.000,23367,3,GX,1,100,0.488
1738271578.862914,565175.000,23367,3,GX,1,100,-0.061
1738271578.902915,565215.000,23385,2,GX,1,100,-0.671
1738271578.942917,565255.000,23385,2,GX,1,100,-0.824
1738271578.982919,565295.000,23402,3,GX,1,100,-1.251
1738271579.022920,565335.000,23402,3,GX,1,100,-0.610
1738271579.062922,565375.000,23402,3,GX,1,100,1.160
1738271579.102923,565415.000,23423,2,GX,1,100,0.244
1738271579.142925,565455.000,23423,2,GX,1,100,0.000
1738271579.182927,565495.000,23441,3,GX,1,100,0.549
1738271579.222928,565535.000,23441,3,GX,1,100,0.397
1738271579.262930,565575.000,23441,3,GX,1,100,0.092
1738271579.302932,565615.000,23456,2,GX,1,100,0.031
1738271579.342933,565655.000,23456,2,GX,1,100,0.275
1738271579.387268,565699.333,23473,3,GX,1,100,0.427
1738271579.431603,565743.667,23473,3,GX,1,100,0.397
1738271579.475939,565788.000,23473,3,GX,1,100,0.153
1738271579.515940,565828.000,23489,2,GX,1,100,-0.061
1738271579.555942,565868.000,23489,2,GX,1,100,-0.092
1738271579.595943,565908.000,23507,3,GX,1,100,-0.061
1738271579.635945,565948.000,23507,3,GX,1,100,-0.092
1738271579.675946,565988.000,23507,3,GX,1,100,0.031
1738271579.715948,566028.000,23524,2,GX,1,100,0.183
1738271579.755950,566068.000,23524,2,GX,1,100,0.366
1738271579.795951,566108.000,23541,3,GX,1,100,0.092
1738271579.835953,566148.000,23541,3,GX,1,100,-0.275
1738271579.875955,566188.000,23541,3,GX,1,100,-0.580
1738271579.915956,566228.000,23558,2,GX,1,100,-0.610
1738271579.955958,566268.000,23558,2,GX,1,100,-0.549
1738271579.995960,566308.000,23575,3,GX,1,100,-0.183
1738271580.035961,566348.000,23575,3,GX,1,100,0.061
1738271580.075963,566388.000,23575,3,GX,1,100,0.092
1738271580.115964,566428.000,23591,2,GX,1,100,0.000
1738271580.155966,566468.000,23591,2,GX,1,100,-0.092
1738271580.195968,566508.000,23608,3,GX,1,100,0.122
1738271580.235969,566548.000,23608,3,GX,1,100,0.275
1738271580.275971,566588.000,23608,3,GX,1,100,0.275
1738271580.315973,566628.000,23626,2,GX,1,100,0.244
1738271580.355974,566668.000,23626,2,GX,1,100,0.153
1738271580.395976,566708.000,23643,3,GX,1,100,-0.061
1738271580.435977,566748.000,23643,3,GX,1,100,-0.092
1738271580.475979,566788.000,23643,3,GX,1,100,0.122
1738271580.515980,566828.000,23659,2,GX,1,100,0.366
1738271580.555982,566868.000,23659,2,GX,1,100,0.275
1738271580.595984,566908.000,23676,3,GX,1,100,0.122
1738271580.635985,566948.000,23676,3,GX,1,100,0.214
1738271580.675987,566988.000,23676,3,GX,1,100,0.275
1738271580.715989,567028.000,23692,2,GX,1,100,0.183
1738271580.755990,567068.000,23692,2,GX,1,100,0.061
1738271580.795992,567108.000,23711,3,GX,1,100,0.092
1738271580.835994,567148.000,23711,3,GX,1,100,0.122
1738271580.875995,567188.000,23711,3,GX,1,100,-0.031
1738271580.915997,567228.000,23728,3,GX,1,100,-0.061
1738271580.955998,567268.000,23728,3,GX,1,100,0.092
1738271580.996000,567308.000,23728,3,GX,1,100,0.153
1738271581.036002,567348.000,23744,2,GX,1,100,-0.061
1738271581.076003,567388.000,23744,2,GX,1,100,-0.092
1738271581.116005,567428.000,23760,3,GX,1,100,0.000
1738271581.156006,567468.000,23760,3,GX,1,100,-0.061
1738271581.196008,567508.000,23760,3,GX,1,100,-0.153
1738271581.236010,567548.000,23778,2,GX,1,100,-0.122
1738271581.276011,567588.000,23778,2,GX,1,100,-0.214
1738271581.316013,567628.000,23794,3,GX,1,100,-0.183
1738271581.356014,567668.000,23794,3,GX,1,100,-0.092
1738271581.396016,567708.000,23794,3,GX,1,100,-0.031
1738271581.436018,567748.000,23810,2,GX,1,100,0.000
1738271581.476019,567788.000,23810,2,GX,1,100,-0.122
1738271581.516021,567828.000,23827,3,GX,1,100,-0.214
1738271581.556023,567868.000,23827,3,GX,1,100,-0.397
1738271581.596024,567908.000,23827,3,GX,1,100,-0.488
1738271581.636026,567948.000,23844,2,GX,1,100,-0.458
1738271581.676028,567988.000,23844,2,GX,1,100,-0.366
1738271581.716029,568028.000,23860,3,GX,1,100,-0.214
1738271581.756031,568068.000,23860,3,GX,1,100,-0.183
1738271581.796032,568108.000,23860,3,GX,1,100,-0.336
1738271581.836034,568148.000,23876,3,GX,1,100,-0.458
1738271581.876035,568188.000,23876,3,GX,1,100,-0.092
1738271581.916037,568228.000,23876,3,GX,1,100,0.458
1738271581.956039,568268.000,23893,2,GX,1,100,0.336
1738271581.996040,568308.000,23893,2,GX,1,100,0.214
1738271582.036042,568348.000,23910,3,GX,1,100,0.000
1738271582.076044,568388.000,23910,3,GX,1,100,-0.305
1738271582.116045,568428.000,23910,3,GX,1,100,-0.397
1738271582.156047,568468.000,23926,2,GX,1,100,-0.153
1738271582.196048,568508.000,23926,2,GX,1,100,0.000
1738271582.242550,568554.500,23944,2,GX,1,100,-0.031
1738271582.289052,568601.000,23944,2,GX,1,100,-0.183
1738271582.329054,568641.000,23959,3,GX,1,100,-0.305
