LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1738265313.679999,1587595.556,48057,9,PG,1,100,4973
1738265313.691088,1587606.000,48057,9,PG,1,100,4973
1738265313.701416,1587615.727,48072,11,PG,1,100,4990
1738265313.711744,1587625.455,48072,11,PG,1,100,4984
1738265313.722071,1587635.182,48072,11,PG,1,100,4994
1738265313.732399,1587644.909,48072,11,PG,1,100,4994
1738265313.742726,1587654.636,48072,11,PG,1,100,4957
1738265313.753054,1587664.364,48072,11,PG,1,100,5007
1738265313.763381,1587674.091,48072,11,PG,1,100,4977
1738265313.773709,1587683.818,48072,11,PG,1,100,4946
1738265313.784037,1587693.545,48072,11,PG,1,100,4944
1738265313.794364,1587703.273,48072,11,PG,1,100,4984
1738265313.804692,1587713.000,48072,11,PG,1,100,4971
1738265313.815946,1587723.600,48089,10,PG,1,100,4969
1738265313.827200,1587734.200,48089,10,PG,1,100,4970
1738265313.838454,1587744.800,48089,10,PG,1,100,4948
1738265313.849709,1587755.400,48089,10,PG,1,100,5001
1738265313.860963,1587766.000,48089,10,PG,1,100,4970
1738265313.872217,1587776.600,48089,10,PG,1,100,4998
1738265313.883471,1587787.200,48089,10,PG,1,100,4959
1738265313.894725,1587797.800,48089,10,PG,1,100,4994
1738265313.905979,1587808.400,48089,10,PG,1,100,4970
1738265313.917234,1587819.000,48089,10,PG,1,100,4963
1738265313.927108,1587828.300,48104,10,PG,1,100,4972
1738265313.936982,1587837.600,48104,10,PG,1,100,4990
1738265313.946856,1587846.900,48104,10,PG,1,100,4979
1738265313.956729,1587856.200,48104,10,PG,1,100,4975
1738265313.966604,1587865.500,48104,10,PG,1,100,4999
1738265313.976477,1587874.800,48104,10,PG,1,100,4966
1738265313.986351,1587884.100,48104,10,PG,1,100,4985
1738265313.996225,1587893.400,48104,10,PG,1,100,4987
1738265314.006099,1587902.700,48104,10,PG,1,100,4998
1738265314.015973,1587912.000,48104,10,PG,1,100,4988
1738265314.027333,1587922.700,48119,10,PG,1,100,4973
1738265314.038694,1587933.400,48119,10,PG,1,100,4976
1738265314.050054,1587944.100,48119,10,PG,1,100,4966
1738265314.061415,1587954.800,48119,10,PG,1,100,4980
1738265314.072775,1587965.500,48119,10,PG,1,100,4974
1738265314.084135,1587976.200,48119,10,PG,1,100,4977
1738265314.095496,1587986.900,48119,10,PG,1,100,5006
1738265314.106856,1587997.600,48119,10,PG,1,100,4945
1738265314.118216,1588008.300,48119,10,PG,1,100,4978
1738265314.129577,1588019.000,48119,10,PG,1,100,4964
1738265314.139451,1588028.300,48135,10,PG,1,100,4992
1738265314.149325,1588037.600,48135,10,PG,1,100,4954
1738265314.159199,1588046.900,48135,10,PG,1,100,4984
1738265314.169073,1588056.200,48135,10,PG,1,100,4994
1738265314.178946,1588065.500,48135,10,PG,1,100,4989
1738265314.188820,1588074.800,48135,10,PG,1,100,4992
1738265314.198694,1588084.100,48135,10,PG,1,100,5003
1738265314.208568,1588093.400,48135,10,PG,1,100,4976
1738265314.218442,1588102.700,48135,10,PG,1,100,4972
1738265314.228316,1588112.000,48135,10,PG,1,100,5014
1738265314.239677,1588122.700,48151,10,PG,1,100,4991
1738265314.251037,1588133.400,48151,10,PG,1,100,4979
1738265314.262397,1588144.100,48151,10,PG,1,100,5005
1738265314.273758,1588154.800,48151,10,PG,1,100,4958
1738265314.285118,1588165.500,48151,10,PG,1,100,4971
1738265314.296478,1588176.200,48151,10,PG,1,100,4973
1738265314.307839,1588186.900,48151,10,PG,1,100,4955
