LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1738263922.585891,193852.000,28217,3,GZ,1,100,0.977
1738263922.625892,193892.000,28217,3,GZ,1,100,1.038
1738263922.665894,193932.000,28217,3,GZ,1,100,0.916
1738263922.712396,193978.500,28231,2,GZ,1,100,0.763
1738263922.758898,194025.000,28231,2,GZ,1,100,0.610
1738263922.798899,194065.000,28247,3,GZ,1,100,0.427
1738263922.838901,194105.000,28247,3,GZ,1,100,0.427
1738263922.878902,194145.000,28247,3,GZ,1,100,0.519
1738263922.918904,194185.000,28263,2,GZ,1,100,0.488
1738263922.958905,194225.000,28263,2,GZ,1,100,0.397
1738263922.998907,194265.000,28279,3,GZ,1,100,0.336
1738263923.038908,194305.000,28279,3,GZ,1,100,0.519
1738263923.078910,194345.000,28279,3,GZ,1,100,0.702
1738263923.118911,194385.000,28293,2,GZ,1,100,0.793
1738263923.158913,194425.000,28293,2,GZ,1,100,0.610
1738263923.198914,194465.000,28310,3,GZ,1,100,0.580
1738263923.238916,194505.000,28310,3,GZ,1,100,0.488
1738263923.278917,194545.000,28310,3,GZ,1,100,0.397
1738263923.318919,194585.000,28327,2,GZ,1,100,0.305
1738263923.358920,194625.000,28327,2,GZ,1,100,0.183
1738263923.398922,194665.000,28343,3,GZ,1,100,0.183
1738263923.438923,194705.000,28343,3,GZ,1,100,0.397
1738263923.478925,194745.000,28343,3,GZ,1,100,0.641
1738263923.518926,194785.000,28357,2,GZ,1,100,0.793
1738263923.558928,194825.000,28357,2,GZ,1,100,0.732
1738263923.598929,194865.000,28374,3,GZ,1,100,0.610
1738263923.638931,194905.000,28374,3,GZ,1,100,0.458
1738263923.678932,194945.000,28374,3,GZ,1,100,0.366
1738263923.718934,194985.000,28391,3,GZ,1,100,0.336
1738263923.758935,195025.000,28391,3,GZ,1,100,0.366
1738263923.798937,195065.000,28391,3,GZ,1,100,0.244
1738263923.845439,195111.500,28407,2,GZ,1,100,0.244
1738263923.891940,195158.000,28407,2,GZ,1,100,0.610
1738263923.931942,195198.000,28424,2,GZ,1,100,0.763
1738263923.971943,195238.000,28424,2,GZ,1,100,0.702
1738263924.011945,195278.000,28440,3,GZ,1,100,0.610
1738263924.051947,195318.000,28440,3,GZ,1,100,0.580
1738263924.091948,195358.000,28440,3,GZ,1,100,0.549
1738263924.131950,195398.000,28455,2,GZ,1,100,0.549
1738263924.171951,195438.000,28455,2,GZ,1,100,0.519
1738263924.211953,195478.000,28472,3,GZ,1,100,0.397
1738263924.251954,195518.000,28472,3,GZ,1,100,0.427
1738263924.291956,195558.000,28472,3,GZ,1,100,0.488
1738263924.331957,195598.000,28487,2,GZ,1,100,0.488
1738263924.371959,195638.000,28487,2,GZ,1,100,0.488
1738263924.411960,195678.000,28502,3,GZ,1,100,0.549
1738263924.451962,195718.000,28502,3,GZ,1,100,0.427
1738263924.491963,195758.000,28502,3,GZ,1,100,0.336
1738263924.531965,195798.000,28519,2,GZ,1,100,0.488
1738263924.571966,195838.000,28519,2,GZ,1,100,0.580
1738263924.611968,195878.000,28536,3,GZ,1,100,0.610
1738263924.651969,195918.000,28536,3,GZ,1,100,0.549
1738263924.691971,195958.000,28536,3,GZ,1,100,0.488
1738263924.731972,195998.000,28551,2,GZ,1,100,0.549
1738263924.771974,196038.000,28551,2,GZ,1,100,0.549
1738263924.811975,196078.000,28566,3,GZ,1,100,0.519
1738263924.851977,196118.000,28566,3,GZ,1,100,0.519
1738263924.891978,196158.000,28566,3,GZ,1,100,0.519
1738263924.938980,196205.000,28582,2,GZ,1,100,0.397
1738263924.985982,196252.000,28582,2,GZ,1,100,0.244
1738263925.025650,196291.667,28598,3,GZ,1,100,0.214
1738263925.065318,196331.333,28598,3,GZ,1,100,0.275
1738263925.104986,196371.000,28598,3,GZ,1,100,0.305
1738263925.144988,196411.000,28613,2,GZ,1,100,0.092
1738263925.184989,196451.000,28613,2,GZ,1,100,0.244
1738263925.224991,196491.000,28629,3,GZ,1,100,0.397
1738263925.264992,196531.000,28629,3,GZ,1,100,0.488
1738263925.304994,196571.000,28629,3,GZ,1,100,0.702
1738263925.344995,196611.000,28644,2,GZ,1,100,0.885
1738263925.384997,196651.000,28644,2,GZ,1,100,0.885
1738263925.424999,196691.000,28660,3,GZ,1,100,0.885
1738263925.465000,196731.000,28660,3,GZ,1,100,0.824
1738263925.505002,196771.000,28660,3,GZ,1,100,0.946
1738263925.545003,196811.000,28678,2,GZ,1,100,1.160
1738263925.585005,196851.000,28678,2,GZ,1,100,3.845
1738263925.625006,196891.000,28693,3,GZ,1,100,8.362
1738263925.665008,196931.000,28693,3,GZ,1,100,7.751
1738263925.705009,196971.000,28693,3,GZ,1,100,5.249
1738263925.745511,197011.500,28708,2,GZ,1,100,-2.838
1738263925.786012,197052.000,28708,2,GZ,1,100,-13.763
1738263925.825680,197091.667,28724,3,GZ,1,100,-16.785
1738263925.865349,197131.333,28724,3,GZ,1,100,-3.479
1738263925.905017,197171.000,28724,3,GZ,1,100,21.179
1738263925.945352,197211.333,28740,3,GZ,1,100,45.685
1738263925.985687,197251.667,28740,3,GZ,1,100,38.116
1738263926.026021,197292.000,28740,3,GZ,1,100,37.048
1738263926.066023,197332.000,28760,2,GZ,1,100,33.234
1738263926.106025,197372.000,28760,2,GZ,1,100,20.569
1738263926.152526,197418.500,28778,2,GZ,1,100,16.968
1738263926.199028,197465.000,28778,2,GZ,1,100,6.989
1738263926.239029,197505.000,28796,3,GZ,1,100,2.136
1738263926.279031,197545.000,28796,3,GZ,1,100,-6.134
1738263926.319032,197585.000,28796,3,GZ,1,100,-8.392
1738263926.359034,197625.000,28812,2,GZ,1,100,-4.944
1738263926.399035,197665.000,28812,2,GZ,1,100,-3.571
1738263926.439037,197705.000,28829,3,GZ,1,100,-3.448
1738263926.479038,197745.000,28829,3,GZ,1,100,-2.350
1738263926.519040,197785.000,28829,3,GZ,1,100,2.625
1738263926.559042,197825.000,28845,3,GZ,1,100,5.371
