LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1738265316.677694,1590419.000,48507,4,AZ,1,100,0.875
1738265316.720162,1590459.000,48507,4,AZ,1,100,0.879
1738265316.762631,1590499.000,48507,4,AZ,1,100,0.874
1738265316.805099,1590539.000,48522,2,AZ,1,100,0.878
1738265316.847568,1590579.000,48522,2,AZ,1,100,0.875
1738265316.890037,1590619.000,48537,3,AZ,1,100,0.879
1738265316.932505,1590659.000,48537,3,AZ,1,100,0.877
1738265316.974974,1590699.000,48537,3,AZ,1,100,0.874
1738265317.017442,1590739.000,48553,2,AZ,1,100,0.878
1738265317.059911,1590779.000,48553,2,AZ,1,100,0.876
1738265317.102380,1590819.000,48569,3,AZ,1,100,0.878
1738265317.144848,1590859.000,48569,3,AZ,1,100,0.875
1738265317.187317,1590899.000,48569,3,AZ,1,100,0.878
1738265317.229785,1590939.000,48584,2,AZ,1,100,0.874
1738265317.272254,1590979.000,48584,2,AZ,1,100,0.876
1738265317.314723,1591019.000,48600,3,AZ,1,100,0.875
1738265317.357191,1591059.000,48600,3,AZ,1,100,0.877
1738265317.399660,1591099.000,48600,3,AZ,1,100,0.875
1738265317.442129,1591139.000,48615,2,AZ,1,100,0.877
1738265317.484597,1591179.000,48615,2,AZ,1,100,0.871
1738265317.527066,1591219.000,48631,3,AZ,1,100,0.875
1738265317.569534,1591259.000,48631,3,AZ,1,100,0.873
1738265317.612003,1591299.000,48631,3,AZ,1,100,0.879
1738265317.654472,1591339.000,48647,2,AZ,1,100,0.879
1738265317.696940,1591379.000,48647,2,AZ,1,100,0.876
1738265317.744009,1591423.333,48662,3,AZ,1,100,0.876
1738265317.791079,1591467.667,48662,3,AZ,1,100,0.873
1738265317.838148,1591512.000,48662,3,AZ,1,100,0.876
1738265317.880617,1591552.000,48677,2,AZ,1,100,0.878
1738265317.923086,1591592.000,48677,2,AZ,1,100,0.879
1738265317.965554,1591632.000,48693,3,AZ,1,100,0.877
1738265318.008023,1591672.000,48693,3,AZ,1,100,0.882
1738265318.050491,1591712.000,48693,3,AZ,1,100,0.877
1738265318.092960,1591752.000,48709,2,AZ,1,100,0.878
1738265318.135429,1591792.000,48709,2,AZ,1,100,0.878
1738265318.177897,1591832.000,48724,3,AZ,1,100,0.882
1738265318.220366,1591872.000,48724,3,AZ,1,100,0.879
1738265318.262835,1591912.000,48724,3,AZ,1,100,0.878
1738265318.305303,1591952.000,48739,2,AZ,1,100,0.878
1738265318.347772,1591992.000,48739,2,AZ,1,100,0.875
1738265318.390240,1592032.000,48756,3,AZ,1,100,0.872
1738265318.432709,1592072.000,48756,3,AZ,1,100,0.878
1738265318.475178,1592112.000,48756,3,AZ,1,100,0.879
1738265318.517646,1592152.000,48771,3,AZ,1,100,0.877
1738265318.560115,1592192.000,48771,3,AZ,1,100,0.879
1738265318.602583,1592232.000,48771,3,AZ,1,100,0.879
1738265318.645052,1592272.000,48787,2,AZ,1,100,0.879
1738265318.687521,1592312.000,48787,2,AZ,1,100,0.883
1738265318.729989,1592352.000,48802,3,AZ,1,100,0.879
1738265318.772458,1592392.000,48802,3,AZ,1,100,0.877
1738265318.814926,1592432.000,48802,3,AZ,1,100,0.877
1738265318.857395,1592472.000,48818,2,AZ,1,100,0.883
1738265318.899864,1592512.000,48818,2,AZ,1,100,0.881
1738265318.949234,1592558.500,48833,2,AZ,1,100,0.875
1738265318.998603,1592605.000,48833,2,AZ,1,100,0.875
1738265319.041072,1592645.000,48850,3,AZ,1,100,0.876
1738265319.083540,1592685.000,48850,3,AZ,1,100,0.873
1738265319.126009,1592725.000,48850,3,AZ,1,100,0.875
1738265319.168478,1592765.000,48864,2,AZ,1,100,0.876
1738265319.210946,1592805.000,48864,2,AZ,1,100,0.877
1738265319.253415,1592845.000,48880,3,AZ,1,100,0.876
1738265319.295883,1592885.000,48880,3,AZ,1,100,0.877
1738265319.338352,1592925.000,48880,3,AZ,1,100,0.876
1738265319.380821,1592965.000,48895,3,AZ,1,100,0.878
1738265319.423289,1593005.000,48895,3,AZ,1,100,0.878
1738265319.465758,1593045.000,48895,3,AZ,1,100,0.875
1738265319.508227,1593085.000,48912,2,AZ,1,100,0.881
1738265319.550695,1593125.000,48912,2,AZ,1,100,0.879
1738265319.593164,1593165.000,48926,3,AZ,1,100,0.877
1738265319.635633,1593205.000,48926,3,AZ,1,100,0.882
1738265319.678101,1593245.000,48926,3,AZ,1,100,0.879
1738265319.720570,1593285.000,48942,2,AZ,1,100,0.875
1738265319.763038,1593325.000,48942,2,AZ,1,100,0.878
1738265319.805507,1593365.000,48958,3,AZ,1,100,0.874
1738265319.847975,1593405.000,48958,3,AZ,1,100,0.875
1738265319.890444,1593445.000,48958,3,AZ,1,100,0.879
1738265319.932913,1593485.000,48974,2,AZ,1,100,0.879
1738265319.975381,1593525.000,48974,2,AZ,1,100,0.878
1738265320.017850,1593565.000,48988,3,AZ,1,100,0.879
1738265320.060318,1593605.000,48988,3,AZ,1,100,0.877
